Celltype	Platform
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Acinar	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Alpha	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Delta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
Beta	CEL-seq2
